id,pitch,yaw,hfov
sanCristobal,
arcoElvira,
puertaMonaita,
darAlHorraInterior,
darAlHorraExterior,
huertoDelCarlos,
aljibeDelRey,
aljibeDelReyOtro,
arcoPesas,
vereaEnmedio,
sacromonte,
sanMiguel,
fajalauza,
murallaAlberzana
